County,State,Census,Estimates Base,Date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,State_FIPS,State_Abbr,County_FIPS
"Autauga County, Alabama",Alabama,54571,"54,597",2010-04-01,"54,773","55,227","54,954","54,727","54,893","54,864","55,243","55,390","55,533","55,869",01,AL,01001
"Baldwin County, Alabama",Alabama,182265,"182,265",2010-04-01,"183,112","186,558","190,145","194,885","199,183","202,939","207,601","212,521","217,855","223,234",01,AL,01003
"Barbour County, Alabama",Alabama,27457,"27,455",2010-04-01,"27,327","27,341","27,169","26,937","26,755","26,283","25,806","25,157","24,872","24,686",01,AL,01005
"Bibb County, Alabama",Alabama,22915,"22,915",2010-04-01,"22,870","22,745","22,667","22,521","22,553","22,566","22,586","22,550","22,367","22,394",01,AL,01007
"Blount County, Alabama",Alabama,57322,"57,322",2010-04-01,"57,376","57,560","57,580","57,619","57,526","57,526","57,494","57,787","57,771","57,826",01,AL,01009
"Bullock County, Alabama",Alabama,10914,"10,911",2010-04-01,"10,876","10,675","10,606","10,549","10,663","10,400","10,389","10,176","10,174","10,101",01,AL,01011
"Butler County, Alabama",Alabama,20947,"20,940",2010-04-01,"20,932","20,866","20,670","20,356","20,327","20,162","20,012","19,888","19,631","19,448",01,AL,01013
"Calhoun County, Alabama",Alabama,118572,"118,526",2010-04-01,"118,408","117,744","117,190","116,471","115,917","115,469","114,973","114,710","114,331","113,605",01,AL,01015
"Chambers County, Alabama",Alabama,34215,"34,169",2010-04-01,"34,122","34,033","34,104","34,139","33,977","33,996","33,745","33,707","33,600","33,254",01,AL,01017
"Cherokee County, Alabama",Alabama,25989,"25,979",2010-04-01,"25,963","25,989","25,958","26,017","25,895","25,732","25,768","25,805","26,014","26,196",01,AL,01019
"Chilton County, Alabama",Alabama,43643,"43,632",2010-04-01,"43,653","43,689","43,582","43,628","43,760","43,700","43,866","44,120","44,163","44,428",01,AL,01021
"Choctaw County, Alabama",Alabama,13859,"13,858",2010-04-01,"13,849","13,609","13,563","13,397","13,317","13,231","13,045","12,925","12,833","12,589",01,AL,01023
"Clarke County, Alabama",Alabama,25833,"25,833",2010-04-01,"25,766","25,587","25,155","25,123","24,864","24,698","24,340","24,063","23,918","23,622",01,AL,01025
"Clay County, Alabama",Alabama,13932,"13,930",2010-04-01,"13,898","13,687","13,434","13,404","13,441","13,415","13,393","13,350","13,294","13,235",01,AL,01027
"Cleburne County, Alabama",Alabama,14972,"14,972",2010-04-01,"15,004","14,928","14,889","14,976","15,026","14,914","14,848","14,899","15,010","14,910",01,AL,01029
"Coffee County, Alabama",Alabama,49948,"49,955",2010-04-01,"50,208","50,444","51,141","50,681","50,657","50,963","51,202","51,853","51,950","52,342",01,AL,01031
"Colbert County, Alabama",Alabama,54428,"54,428",2010-04-01,"54,524","54,539","54,570","54,529","54,462","54,417","54,497","54,695","55,004","55,241",01,AL,01033
"Conecuh County, Alabama",Alabama,13228,"13,236",2010-04-01,"13,236","13,195","13,046","12,912","12,677","12,678","12,500","12,431","12,292","12,067",01,AL,01035
